task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	baseline	0.521	0.112	0.442	0.6	0.442	NA	none	1	baseline
task_11	elnet	-0.464	0.114	-0.544	-0.544	-0.384	NA	none	1	metadata
task_11	lasso	-0.464	0.114	-0.544	-0.544	-0.384	NA	none	1	metadata
task_11	rf	-0.274	0.052	-0.311	-0.237	-0.311	NA	none	1	metadata
task_11	elnet	0.111	0.692	-0.379	0.6	-0.379	NA	none	2	metadata+baseline
task_11	lasso	0.111	0.692	-0.379	0.6	-0.379	NA	none	2	metadata+baseline
task_11	rf	0.109	0.201	-0.033	0.251	-0.033	NA	none	2	metadata+baseline
task_11	elnet	-0.223	0.211	-0.373	-0.074	-0.373	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	lasso	-0.224	0.213	-0.374	-0.074	-0.374	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	rf	-0.33	0.134	-0.424	-0.235	-0.424	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	elnet	-0.249	0.171	-0.37	-0.128	-0.37	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	lasso	-0.132	0.362	-0.388	0.124	-0.388	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	rf	0.186	0.028	0.165	0.206	0.165	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	elnet	-0.253	0.177	-0.377	-0.128	-0.377	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.139	0.352	-0.388	0.11	-0.388	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	rf	0.32	0.049	0.286	0.355	0.286	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	elnet	-0.253	0.177	-0.377	-0.128	-0.377	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.142	0.348	-0.388	0.104	-0.388	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	0.125	0.141	0.026	0.225	0.026	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.169	0.227	0.008	0.008	0.329	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	0.282	0.044	0.251	0.251	0.313	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.079	0.008	-0.085	-0.085	-0.074	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
